#Name,lat,lng,pop,gdp,regime
Albania,41.3275459,19.8186982,1227.0,1229.0,0
Austria,48.2081743,16.3738189,6935.0,25702.0,1
Belgium,50.8503396,4.3517103,8639.0,47190.0,1
Bulgaria,42.6977082,23.3218675,7251.0,11971.0,0
Czechoslovakia,50.0755381,14.4378005,12389.0,43368.0,0
Denmark,55.6760968,12.5683371,4271.0,29654.0,1
Finland,60.17332440000001,24.9410248,4009.0,17051.0,1
France,48.856614,2.3522219,42518.0,220492.0,1
EastGermany,52.5200066,13.404954,18388.0,51412.0,0
WestGermany,50.73743,7.0982068,50958.0,213942.0,1
Greece,37.983917,23.7293599,7566.0,14489.0,1
Hungary,47.497912,19.040235,9338.0,23158.0,0
Iceland,64.133333,-21.933333,143.0,762.0,1
Ireland,53.3498053,-6.2603097,2963.0,10231.0,1
Italy,41.8723889,12.4801802,47105.0,164957.0,1
Liechtenstein,47.14137,9.5207,14.0,159.0,1
Luxembourg,49.815273,6.129583,296.0,2481.0,1
Monaco,43.73841760000001,7.4246158,18.0,158.0,1
Netherlands,52.3702157,4.895167900000001,10114.0,60642.0,1
Norway,59.9138688,10.7522454,3265.0,17728.0,1
Poland,52.2296756,21.0122287,24824.0,60742.0,2
Portugal,38.7222524,-9.1393366,8443.0,17615.0,1
Romania,44.4325,26.103889,16311.0,19279.0,0
SovietUnion,55.755826,37.6173,179571.0,510243.0,0
Spain,40.4167754,-3.7037902,28063.0,61429.0,2
Sweden,59.3293235,18.0685808,7014.0,47478.0,1
Switzerland,46.9479222,7.4446085,4694.0,42545.0,1
UnitedKingdom,51.5073509,-0.1277583,50127.0,347850.0,1
Yugoslavia,44.816667,20.466667,16298.0,25277.0,0
#Googlemap-accordingtothecapitals1950
#
#GDPforeastandwestgermanyhttp://books.google.at/books?id=YeoEiNLtrLsC&pg=PA178&lpg=PA178&dq=Maddison,+1950+east+german+gdp&source=bl&ots=TAkNRGDaAR&sig=jzG_cfbPVLdkOeLOug4zHlDyCjA&hl=en&sa=X&ei=JNJgVLPJA4GOPcuSgLAB&ved=0CB8Q6AEwAA#v=onepage&q=Maddison%2C%201950%20east%20german%20gdp&f=false
#
#Populationforeastandwestgermanyhttps://www.destatis.de/EN/FactsFigures/SocietyState/Population/CurrentPopulation/Tables_/lrbev03.html
#
#Gdpforicelandhttp://www.theworldeconomy.org/histostats/histostats-table01-4.pdf
#
#forlichtensteinandmonacotooktheaverageof9countries(ALMOSTSAMEthinkaboutit)
#regime1=noncommunist0=communist
